Date,Device,TrafficSource,Sessions,Orders,Revenue,Returns,BounceRate
2024-03-08,Desktop,Email,300,6,442.68,0,0.462
2024-03-08,Desktop,Social,345,12,806.97,0,0.551
2024-03-08,Desktop,Referral,246,8,507.01,0,0.341
2024-03-08,Tablet,Paid Search,208,4,421.28,1,0.424
2024-03-08,Tablet,Organic Search,204,3,246.32,0,0.386
2024-03-08,Tablet,Email,127,1,107.18,0,0.444
2024-03-08,Tablet,Social,145,6,270.11,0,0.395
2024-03-08,Tablet,Referral,104,1,82.36,0,0.468
2024-03-09,Mobile,Paid Search,712,11,986.59,0,0.476
2024-03-09,Mobile,Organic Search,663,13,475.38,2,0.211
2024-03-09,Mobile,Email,423,9,706.69,0,0.604
2024-03-09,Mobile,Social,461,9,591.57,1,0.36
2024-03-09,Mobile,Referral,325,5,556.81,0,0.49
2024-03-09,Desktop,Paid Search,554,11,827.06,1,0.338
2024-03-09,Desktop,Organic Search,513,14,805.23,0,0.463
2024-03-09,Desktop,Email,291,10,1245.2,1,0.311
2024-03-09,Desktop,Social,331,10,861.71,2,0.338
2024-03-09,Desktop,Referral,251,12,843.29,1,0.397
2024-03-09,Tablet,Paid Search,237,6,652.9,0,0.477
2024-03-09,Tablet,Organic Search,208,6,517.92,0,0.311
2024-03-09,Tablet,Email,119,5,405.55,0,0.45
2024-03-09,Tablet,Social,151,5,421.45,0,0.453
2024-03-09,Tablet,Referral,117,3,238.87,0,0.297
2024-03-10,Mobile,Paid Search,697,19,1603.59,3,0.417
2024-03-10,Mobile,Organic Search,669,9,738.99,0,0.502
2024-03-10,Mobile,Email,420,18,1548.36,3,0.442
2024-03-10,Mobile,Social,432,8,746.09,1,0.373
2024-03-10,Mobile,Referral,299,10,1035.99,1,0.268
2024-03-10,Desktop,Paid Search,572,15,1082.14,0,0.626
2024-03-10,Desktop,Organic Search,458,5,438.76,0,0.467
2024-03-10,Desktop,Email,258,7,737.76,0,0.23
2024-03-10,Desktop,Social,345,12,947.46,2,0.627
2024-03-10,Desktop,Referral,266,4,288.48,0,0.338
2024-03-10,Tablet,Paid Search,220,6,473.56,0,0.482
2024-03-10,Tablet,Organic Search,226,4,237.78,1,0.372
2024-03-10,Tablet,Email,130,9,757.35,1,0.292
2024-03-10,Tablet,Social,152,7,778.87,0,0.356
2024-03-10,Tablet,Referral,113,5,268.63,0,0.497
2024-03-11,Mobile,Paid Search,697,16,1217.92,2,0.519
2024-03-11,Mobile,Organic Search,591,10,780.1,1,0.26
2024-03-11,Mobile,Email,413,10,918.97,0,0.485
2024-03-11,Mobile,Social,473,14,848.05,1,0.402
2024-03-11,Mobile,Referral,343,4,320.3,0,0.433
2024-03-11,Desktop,Paid Search,524,19,2504.41,1,0.349
2024-03-11,Desktop,Organic Search,500,14,1041.26,1,0.37
2024-03-11,Desktop,Email,321,5,651.75,0,0.396
2024-03-11,Desktop,Social,328,12,557.7,1,0.411
2024-03-11,Desktop,Referral,225,8,363.46,0,0.438
2024-03-11,Tablet,Paid Search,222,5,452.34,0,0.484
2024-03-11,Tablet,Organic Search,220,7,267.87,2,0.357
2024-03-11,Tablet,Email,127,4,298.26,0,0.461
2024-03-11,Tablet,Social,151,5,438.02,0,0.33
2024-03-11,Tablet,Referral,121,5,410.94,0,0.459
2024-03-12,Mobile,Paid Search,745,10,867.79,0,0.353
2024-03-12,Mobile,Organic Search,695,16,1225.72,1,0.485
2024-03-12,Mobile,Email,416,8,829.87,0,0.431
2024-03-12,Mobile,Social,448,10,724.14,0,0.252
2024-03-12,Mobile,Referral,325,3,231.57,0,0.561
2024-03-12,Desktop,Paid Search,526,12,836.14,0,0.397
2024-03-12,Desktop,Organic Search,470,17,1867.42,0,0.318
2024-03-12,Desktop,Email,291,14,1392.22,0,0.382
2024-03-12,Desktop,Social,345,7,792.67,1,0.574
2024-03-12,Desktop,Referral,250,5,625.55,1,0.288
2024-03-12,Tablet,Paid Search,215,6,489.67,1,0.658
2024-03-12,Tablet,Organic Search,211,10,736.15,1,0.453
2024-03-12,Tablet,Email,133,3,275.45,0,0.621
2024-03-12,Tablet,Social,147,3,208.67,0,0.421
2024-03-12,Tablet,Referral,112,1,93.59,0,0.676
2024-03-13,Mobile,Paid Search,734,17,1611.12,2,0.338
2024-03-13,Mobile,Organic Search,630,21,1153.02,2,0.444
2024-03-13,Mobile,Email,384,7,201.67,0,0.382
2024-03-13,Mobile,Social,461,12,834.26,2,0.433
2024-03-13,Mobile,Referral,337,5,415.75,0,0.449
2024-03-13,Desktop,Paid Search,515,7,624.18,0,0.339
2024-03-13,Desktop,Organic Search,471,16,930.97,1,0.359
2024-03-13,Desktop,Email,273,7,644.17,1,0.473
2024-03-13,Desktop,Social,324,8,516.67,2,0.525
2024-03-13,Desktop,Referral,235,7,463.3,0,0.378
2024-03-13,Tablet,Paid Search,232,5,440.94,0,0.379
2024-03-13,Tablet,Organic Search,214,3,229.83,0,0.545
2024-03-13,Tablet,Email,122,7,630.8,0,0.411
2024-03-13,Tablet,Social,162,4,448.62,0,0.372
2024-03-13,Tablet,Referral,113,6,557.88,1,0.337
2024-03-14,Mobile,Paid Search,749,9,924.57,0,0.479
2024-03-14,Mobile,Organic Search,637,16,1235.45,1,0.435
2024-03-14,Mobile,Email,371,5,298.6,0,0.461
2024-03-14,Mobile,Social,448,14,954.36,0,0.509
2024-03-14,Mobile,Referral,340,6,437.75,0,0.31
2024-03-14,Desktop,Paid Search,538,15,1186.07,0,0.418
2024-03-14,Desktop,Organic Search,445,13,802.96,0,0.456
2024-03-14,Desktop,Email,267,10,779.93,2,0.451
2024-03-14,Desktop,Social,348,8,663.73,0,0.416
2024-03-14,Desktop,Referral,243,11,631.46,1,0.483
2024-03-14,Tablet,Paid Search,223,10,806.81,0,0.538
2024-03-14,Tablet,Organic Search,203,12,631.54,0,0.453
2024-03-14,Tablet,Email,134,2,172.28,0,0.24
2024-03-14,Tablet,Social,157,5,343.67,0,0.435
2024-03-14,Tablet,Referral,117,8,812.23,3,0.492
2024-03-15,Mobile,Paid Search,731,19,1685.06,0,0.442
2024-03-15,Mobile,Organic Search,752,8,535.29,0,0.479
2024-03-15,Mobile,Email,418,14,627.48,2,0.327
2024-03-15,Mobile,Social,471,5,372.51,0,0.457
2024-03-15,Mobile,Referral,349,5,252.64,0,0.35
2024-03-15,Desktop,Paid Search,527,19,2064.69,4,0.543
2024-03-15,Desktop,Organic Search,494,10,681.14,3,0.575
2024-03-15,Desktop,Email,312,13,1554.32,0,0.425
2024-03-15,Desktop,Social,324,11,1258.15,0,0.456
2024-03-15,Desktop,Referral,266,2,183.36,0,0.286
2024-03-15,Tablet,Paid Search,227,2,148.26,0,0.474
2024-03-15,Tablet,Organic Search,223,4,334.87,0,0.285
2024-03-15,Tablet,Email,124,5,378.15,0,0.418
2024-03-15,Tablet,Social,156,3,191.17,0,0.419
2024-03-15,Tablet,Referral,110,5,368.3,0,0.306
2024-03-16,Mobile,Paid Search,754,15,1242.47,0,0.517
2024-03-16,Mobile,Organic Search,687,17,1028.54,4,0.365
2024-03-16,Mobile,Email,392,12,1013.48,2,0.604
2024-03-16,Mobile,Social,478,8,678.87,0,0.376
2024-03-16,Mobile,Referral,328,4,339.57,0,0.416
2024-03-16,Desktop,Paid Search,519,15,1695.08,2,0.277
2024-03-16,Desktop,Organic Search,484,11,1013.56,1,0.262
2024-03-16,Desktop,Email,284,13,844.09,1,0.451
2024-03-16,Desktop,Social,328,8,688.65,1,0.393
2024-03-16,Desktop,Referral,254,9,795.66,0,0.438
2024-03-16,Tablet,Paid Search,216,10,699.48,0,0.592
2024-03-16,Tablet,Organic Search,186,4,376.73,1,0.544
2024-03-16,Tablet,Email,137,5,454.93,0,0.44
2024-03-16,Tablet,Social,145,4,343.15,2,0.368
2024-03-16,Tablet,Referral,117,3,211.18,0,0.477
2024-03-17,Mobile,Paid Search,704,15,1204.07,1,0.403
2024-03-17,Mobile,Organic Search,652,12,701.34,1,0.382
2024-03-17,Mobile,Email,401,14,1158.19,2,0.349
2024-03-17,Mobile,Social,446,11,728.5,0,0.568
2024-03-17,Mobile,Referral,320,10,780.68,1,0.32
2024-03-17,Desktop,Paid Search,520,8,714.66,0,0.329
2024-03-17,Desktop,Organic Search,480,14,1373.02,1,0.417
2024-03-17,Desktop,Email,310,9,830.18,0,0.268
2024-03-17,Desktop,Social,347,12,952.14,1,0.369
2024-03-17,Desktop,Referral,245,4,301.38,0,0.549
2024-03-17,Tablet,Paid Search,247,5,477.27,0,0.411
2024-03-17,Tablet,Organic Search,245,7,684.43,0,0.278
2024-03-17,Tablet,Email,136,4,447.31,0,0.42
2024-03-17,Tablet,Social,158,6,373.22,1,0.437
2024-03-17,Tablet,Referral,121,1,83.71,0,0.599
2024-03-18,Mobile,Paid Search,701,12,741.65,2,0.481
2024-03-18,Mobile,Organic Search,684,14,1158.65,1,0.468
2024-03-18,Mobile,Email,385,12,1117.46,0,0.284
2024-03-18,Mobile,Social,416,9,572.62,0,0.385
2024-03-18,Mobile,Referral,343,6,487.74,0,0.339
2024-03-18,Desktop,Paid Search,465,14,1026.75,1,0.329
2024-03-18,Desktop,Organic Search,487,10,687.24,1,0.234
2024-03-18,Desktop,Email,281,7,352.49,0,0.567
2024-03-18,Desktop,Social,342,8,776.01,1,0.389
2024-03-18,Desktop,Referral,239,6,606.74,0,0.5
2024-03-18,Tablet,Paid Search,229,7,322.85,1,0.456
2024-03-18,Tablet,Organic Search,240,10,650.44,0,0.583
2024-03-18,Tablet,Email,126,7,551.32,0,0.448
2024-03-18,Tablet,Social,145,10,842.92,0,0.422
2024-03-18,Tablet,Referral,113,2,163.1,0,0.546
2024-03-19,Mobile,Paid Search,690,19,1821.04,1,0.423
2024-03-19,Mobile,Organic Search,642,9,682.58,1,0.525
2024-03-19,Mobile,Email,396,13,1279.04,1,0.252
2024-03-19,Mobile,Social,444,17,1294.56,2,0.384
2024-03-19,Mobile,Referral,337,8,608.91,0,0.401
2024-03-19,Desktop,Paid Search,480,10,999.71,0,0.317
2024-03-19,Desktop,Organic Search,452,18,1229.34,2,0.276
2024-03-19,Desktop,Email,293,13,1224.17,1,0.301
2024-03-19,Desktop,Social,327,11,960.46,0,0.391
2024-03-19,Desktop,Referral,248,6,685.86,0,0.339
2024-03-19,Tablet,Paid Search,236,4,354.57,1,0.412
2024-03-19,Tablet,Organic Search,202,3,352.55,0,0.431
2024-03-19,Tablet,Email,137,5,494.73,0,0.543
2024-03-19,Tablet,Social,140,2,174.16,0,0.469
2024-03-19,Tablet,Referral,111,1,63.09,0,0.331
2024-03-20,Mobile,Paid Search,631,14,1069.6,2,0.292
2024-03-20,Mobile,Organic Search,644,12,872.79,0,0.218
2024-03-20,Mobile,Email,386,12,747.09,0,0.743
2024-03-20,Mobile,Social,436,3,254.74,0,0.507
2024-03-20,Mobile,Referral,345,5,420.3,0,0.336
2024-03-20,Desktop,Paid Search,550,12,1076.93,1,0.388
2024-03-20,Desktop,Organic Search,515,12,646.53,0,0.38
2024-03-20,Desktop,Email,287,11,495.27,1,0.377
2024-03-20,Desktop,Social,334,6,648.55,1,0.309
2024-03-20,Desktop,Referral,251,6,604.56,0,0.488
2024-03-20,Tablet,Paid Search,232,8,611.21,0,0.44
2024-03-20,Tablet,Organic Search,223,3,250.12,0,0.494
2024-03-20,Tablet,Email,138,4,295.26,0,0.452
2024-03-20,Tablet,Social,151,3,196.13,0,0.536
2024-03-20,Tablet,Referral,107,1,82.71,0,0.328
2024-03-21,Mobile,Paid Search,684,16,1172.59,1,0.309
2024-03-21,Mobile,Organic Search,602,11,700.12,1,0.296
2024-03-21,Mobile,Email,416,14,1367.44,2,0.275
2024-03-21,Mobile,Social,444,14,1142.72,1,0.573
2024-03-21,Mobile,Referral,341,11,802.42,0,0.426
2024-03-21,Desktop,Paid Search,493,14,1151.32,1,0.644
2024-03-21,Desktop,Organic Search,488,11,1187.34,0,0.308
2024-03-21,Desktop,Email,304,8,510.69,0,0.384
2024-03-21,Desktop,Social,342,10,975.56,1,0.523
2024-03-21,Desktop,Referral,260,5,405.72,0,0.631
2024-03-21,Tablet,Paid Search,223,8,661.68,0,0.407
2024-03-21,Tablet,Organic Search,220,3,253.36,0,0.455
2024-03-21,Tablet,Email,140,3,318.64,0,0.438
2024-03-21,Tablet,Social,146,3,226.65,1,0.457
2024-03-21,Tablet,Referral,109,3,228.34,0,0.367
2024-03-22,Mobile,Paid Search,652,12,507.32,1,0.491
2024-03-22,Mobile,Organic Search,670,17,856.22,2,0.351
2024-03-22,Mobile,Email,442,14,1438.96,2,0.297
2024-03-22,Mobile,Social,480,10,979.16,1,0.599
2024-03-22,Mobile,Referral,337,9,730.05,2,0.445
2024-03-22,Desktop,Paid Search,510,10,1110.59,0,0.539
2024-03-22,Desktop,Organic Search,470,11,933.19,0,0.486
2024-03-22,Desktop,Email,308,15,1447.79,1,0.334
2024-03-22,Desktop,Social,321,6,391.45,0,0.357
2024-03-22,Desktop,Referral,253,5,218.46,0,0.43
2024-03-22,Tablet,Paid Search,222,4,303.56,0,0.502
2024-03-22,Tablet,Organic Search,219,2,179.26,0,0.424
2024-03-22,Tablet,Email,140,2,85.85,1,0.396
2024-03-22,Tablet,Social,158,5,388.66,0,0.372
2024-03-22,Tablet,Referral,110,1,70.78,0,0.276
2024-03-23,Mobile,Paid Search,742,24,2492.1,2,0.346
2024-03-23,Mobile,Organic Search,640,9,639.03,0,0.301
2024-03-23,Mobile,Email,374,10,863.87,3,0.283
2024-03-23,Mobile,Social,446,10,637.31,0,0.403
2024-03-23,Mobile,Referral,314,6,379.91,0,0.374
2024-03-23,Desktop,Paid Search,468,11,1116.97,1,0.379
2024-03-23,Desktop,Organic Search,466,17,1708.49,1,0.522
2024-03-23,Desktop,Email,271,6,399.12,0,0.348
2024-03-23,Desktop,Social,354,4,433.06,0,0.474
2024-03-23,Desktop,Referral,234,12,649.15,1,0.634
2024-03-23,Tablet,Paid Search,237,5,408.45,0,0.629
2024-03-23,Tablet,Organic Search,216,6,399.5,2,0.426
2024-03-23,Tablet,Email,136,3,280.43,0,0.466
2024-03-23,Tablet,Social,144,2,177.11,0,0.456
2024-03-23,Tablet,Referral,110,1,72.42,0,0.387
2024-03-24,Mobile,Paid Search,731,11,697.5,0,0.227
2024-03-24,Mobile,Organic Search,629,12,1209.61,0,0.389
2024-03-24,Mobile,Email,388,17,1371.0,2,0.583
2024-03-24,Mobile,Social,426,13,982.94,1,0.332
2024-03-24,Mobile,Referral,324,1,66.08,0,0.511
2024-03-24,Desktop,Paid Search,520,23,2047.33,3,0.282
2024-03-24,Desktop,Organic Search,469,15,1556.65,2,0.503
2024-03-24,Desktop,Email,302,11,655.83,1,0.204
2024-03-24,Desktop,Social,327,8,749.48,1,0.412
2024-03-24,Desktop,Referral,240,7,382.05,0,0.549
2024-03-24,Tablet,Paid Search,230,11,1241.54,0,0.475
2024-03-24,Tablet,Organic Search,200,7,598.32,0,0.511
2024-03-24,Tablet,Email,134,5,388.69,0,0.204
2024-03-24,Tablet,Social,142,5,334.87,0,0.334
2024-03-24,Tablet,Referral,107,2,171.81,0,0.461
2024-03-25,Mobile,Paid Search,700,13,1054.33,1,0.453
2024-03-25,Mobile,Organic Search,669,9,846.98,0,0.43
2024-03-25,Mobile,Email,415,22,1796.11,1,0.278
2024-03-25,Mobile,Social,474,5,544.88,0,0.31
2024-03-25,Mobile,Referral,337,12,1139.3,0,0.522
2024-03-25,Desktop,Paid Search,478,10,502.33,0,0.456
2024-03-25,Desktop,Organic Search,497,19,2091.43,1,0.46
2024-03-25,Desktop,Email,276,12,931.6,1,0.444
2024-03-25,Desktop,Social,335,6,344.01,0,0.64
2024-03-25,Desktop,Referral,234,6,398.06,0,0.336
2024-03-25,Tablet,Paid Search,242,7,451.96,0,0.368
2024-03-25,Tablet,Organic Search,218,9,520.41,1,0.495
2024-03-25,Tablet,Email,130,1,34.36,0,0.438
2024-03-25,Tablet,Social,147,6,455.28,0,0.509
2024-03-25,Tablet,Referral,108,3,243.85,0,0.344
2024-03-26,Mobile,Paid Search,774,24,2187.14,0,0.503
2024-03-26,Mobile,Organic Search,606,13,1098.28,2,0.475
2024-03-26,Mobile,Email,406,10,915.43,0,0.599
2024-03-26,Mobile,Social,444,10,1009.64,0,0.515
2024-03-26,Mobile,Referral,285,7,743.42,1,0.423
2024-03-26,Desktop,Paid Search,560,11,1094.94,1,0.57
2024-03-26,Desktop,Organic Search,510,22,2035.81,3,0.46
2024-03-26,Desktop,Email,312,7,676.8,1,0.467
2024-03-26,Desktop,Social,340,10,780.57,0,0.485
2024-03-26,Desktop,Referral,245,7,683.41,0,0.485
2024-03-26,Tablet,Paid Search,240,4,376.78,0,0.257
2024-03-26,Tablet,Organic Search,205,5,350.59,0,0.53
2024-03-26,Tablet,Email,132,5,379.71,0,0.381
2024-03-26,Tablet,Social,143,2,118.49,0,0.401
2024-03-26,Tablet,Referral,120,5,299.73,0,0.486
2024-03-27,Mobile,Paid Search,737,14,1156.44,2,0.414
2024-03-27,Mobile,Organic Search,653,12,904.79,0,0.476
2024-03-27,Mobile,Email,357,10,1060.84,0,0.219
2024-03-27,Mobile,Social,489,10,976.0,2,0.325
